Nacionalna šifra zdravila;Ime zdravila;ATC;Naziv ATC;Lista;Omejitev predpisovanja in izdajanja v breme javnih sredstev;Datum prièetka veljavnosti
029815;EUCREAS 50 mg/1000 mg film.obl. tbl. 30x;A10BD08;metformin in vildagliptin;P100*;Za zdravljenje sladkorne bolezni tipa 2 le v: a) primeru neželenih uèinkov ali kontraindikacij za sulfonilseènino/repaglinid. b) trotirnem zdravljenju z optimalnimi odmerki metformina in sulfonilseènine/repaglinida, kadar zdravljenje z inzulinom ni varno zaradi narave poklicnega dela, c) trotirnem zdravljenju z optimalnimi odmerki metformina in sulfonilseènine/repaglinida, kadar zdravljenje z inzulinom ni varno, ker je prisotno visoko tveganje za hipoglikemije zaradi omejene zmožnosti bolnika oziroma svojcev za obvladovanje tveganja za hipoglikemijo, oz. ker ni ustreznih socialnih okolišèin. Samo na osnovi izvida iz diabetološke ambulante s priporoèilom za predpis zdravila.;17.4.2014
029831;Galvus 50 mg tbl. 30x;A10BH02;vildagliptin;P100*;Za zdravljenje sladkorne bolezni tipa 2 le v: a) kombinaciji z metforminom ali pripravki sulfonilseènine/repaglinidom v primeru kontraindikacij za sulfonilseènino/repaglinid oziroma metformin ali neželenih uèinkov. b) trotirnem zdravljenju z optimalnimi odmerki metformina in sulfonilseènine/repaglinida, kadar zdravljenje z inzulinom ni varno zaradi narave poklicnega dela, c) trotirnem zdravljenju z optimalnimi odmerki metformina in sulfonilseènine/repaglinida, kadar zdravljenje z inzulinom ni varno, ker je prisotno visoko tveganje za hipoglikemije zaradi omejene zmožnosti bolnika oziroma svojcev za obvladovanje tveganja za hipoglikemijo, oz. ker ni ustreznih socialnih okolišèin. Samo na osnovi izvida iz diabetološke ambulante s priporoèilom za predpis zdravila.;17.4.2014
029874;ISENTRESS 400 mg film.obl.tbl. 60x;J05AX08;raltegravir;P100;;22.5.2009
029890;AVAMYS 27,5 mcg/vpih pršilo za nos 120x;R01AD12;flutikazonfuroat;PC70;;27.5.2016
029904;Olivin 20 mg tbl. 20x;C09AA02;enalapril;PC70;;27.5.2016
029912;TYVERB 250 mg film.obl.tbl. 70x;L01XE07;lapatinib;P100*;Le za bolnice z napredovalim rakom dojke. predpisovanje omejeno na interniste onkologe.;22.5.2009
029947;ZALASTA 5 mg tbl. 28x;N05AH03;olanzapin;PC100;;27.5.2016
029971;ZALASTA 10 mg tbl. 28x;N05AH03;olanzapin;PC100;;27.5.2016
030058;Androcur 100 mg tbl. 50x;G03HA01;ciproteron;P70;;1.6.2012
030066;Asmanex Twisthaler 200 mcg/vdih prašek za inhal. 60 odm.;R03BA07;mometazon;P70;;1.6.2012
030074;Asmanex Twisthaler 400 mcg/vdih prašek za inhal. 60 odm.;R03BA07;mometazon;P70;;1.6.2012
030082;Actonel 75 mg film.obl.tbl. 6x;M05BA07;risedronska kislina;V*;Predpisovanje mora biti v skladu s slovenskimi smernicami za zdravljenje osteoporoze.;10.6.2008
030090;Co-Diovan 160 mg/12,5 mg film.obl.tbl. 28x;C09DA03;valsartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
030104;Co-Diovan 160 mg/25 mg film.obl.tbl. 28x;C09DA03;valsartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
030112;Co-Diovan 80 mg/12,5 mg film.obl.tbl. 28x;C09DA03;valsartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
030341;TIMOPTIC - XE 2,5 mg/ml kapljice za oko razt. z OCUMETER PLUS plastenka 2,5 ml;S01ED01;timolol;VC;;27.5.2016
030368;TIMOPTIC - XE 5 mg/ml kapljice za oko razt. z OCUMETER PLUS plastenka 2,5 ml;S01ED01;timolol;VC;;27.5.2016
030392;Glucovance 500 mg/2,5 mg film.obl.tbl. 60x;A10BD02;metformin in sulfonamidi;P100;;29.3.2011
030406;Glucovance 500 mg/5 mg film.obl.tbl. 60x;A10BD02;metformin in sulfonamidi;P100;;29.3.2011
030414;MicardisPlus 40 mg/12,5 mg tbl. 28x;C09DA07;telmisartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
030422;MicardisPlus 80 mg/12,5 mg tbl. 28x;C09DA07;telmisartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
030449;Atifan 250 mg tbl. 14x;D01BA02;terbinafin;PC70;;27.5.2016
030503;FRAXIPARINE FORTE 11400 i.e.AXa/0,6 ml inj.brizga 10x;B01AB06;nadroparin;P70;;1.6.2012
030511;FRAXIPARINE FORTE 15200 i.e.AXa/0,8 ml inj.brizga 10x;B01AB06;nadroparin;P70;;1.6.2012
030554;FRAXIPARINE FORTE 19000 i.e.AXa/1 ml inj.brizga 10x;B01AB06;nadroparin;P70;;1.6.2012
030627;Ceclor 125 mg/5 ml zrnca za peroral.susp. 100ml;J01DC04;cefaklor;P70;;1.6.2012
030686;Ceclor 250 mg/5 ml zrnca za peroral.susp. 100ml;J01DC04;cefaklor;P70;;1.6.2012
031445;URUTAL 16 mg tbl. 60x;N07CA01;betahistin;V*;Le za bolnike z ugotovljeno akutno periferno okvaro vestibularnega organa, nenadno naglušnostjo in/ali akutnim tinitusom v trajanju najveè do treh mesecev po napadu.;29.3.2011
031453;ZEMPLAR 1 mcg mehke kaps. 28x;H05BX02;parikalcitol;V*;Le za stabilne dializne bolnike, predhodno zdravljene z ostalimi aktivnimi oblikami vitamina D v trajanju vsaj 6 mesecev, ki je bilo neuèinkovito, z i-PTH pri vsaj dveh zaporednih meritvah  v   obdobju 3 mesecev > 500 ng/l, koncentracijo serumskega Ca < 2,4 mmol/l, koncentracijo serumskega fosfata < 1,78 mmol/l in zmnožkom serumskega Ca in fosfata manj ali enako 4,4 mmol2/l2.;9.12.2008
031461;ZEMPLAR 2 mcg mehke kaps. 28x;H05BX02;parikalcitol;V*;Le za stabilne dializne bolnike, predhodno zdravljene z ostalimi aktivnimi oblikami vitamina D v trajanju vsaj 6 mesecev, ki je bilo neuèinkovito, z i-PTH pri vsaj dveh zaporednih meritvah  v   obdobju 3 mesecev > 500 ng/l, koncentracijo serumskega Ca < 2,4 mmol/l, koncentracijo serumskega fosfata < 1,78 mmol/l in zmnožkom serumskega Ca in fosfata manj ali enako 4,4 mmol2/l2.;9.12.2008
031623;KOGENATE BAYER 2000 i.e. prašek in vehikel za razt.za inj. 1x;B02BD02;koagulacijski faktor VIII;P100*;Zdravilo sme predpisati na recept le pooblašèeni specialist.;22.5.2009
031682;REVLIMID 5 mg trde kaps. 21x;L04AX04;lenalidomid;P100*;1.Predpisovanje omejeno na hematologe na osnovi odloèitve komisije hematološke klinike UKC Ljubljana, kot tretja linija zdravljenja bolnikov z diseminiranim plazmocitomom. 2.Zdravilo se izda  v  sedmih dneh po predpisu recepta.;22.5.2009
031704;REVLIMID 10 mg trde kaps. 21x;L04AX04;lenalidomid;P100*;1.Predpisovanje omejeno na hematologe na osnovi odloèitve komisije hematološke klinike UKC Ljubljana, kot tretja linija zdravljenja bolnikov z diseminiranim plazmocitomom. 2.Zdravilo se izda  v  sedmih dneh po predpisu recepta.;22.5.2009
031720;REVLIMID 15 mg trde kaps. 21x;L04AX04;lenalidomid;P100*;1.Predpisovanje omejeno na hematologe na osnovi odloèitve komisije hematološke klinike UKC Ljubljana, kot tretja linija zdravljenja bolnikov z diseminiranim plazmocitomom. 2.Zdravilo se izda  v  sedmih dneh po predpisu recepta.;22.5.2009
031739;REVLIMID 25 mg trde kaps. 21x;L04AX04;lenalidomid;P100*;1.Predpisovanje omejeno na hematologe na osnovi odloèitve komisije hematološke klinike UKC Ljubljana, kot tretja linija zdravljenja bolnikov z diseminiranim plazmocitomom. 2.Zdravilo se izda  v  sedmih dneh po predpisu recepta.;22.5.2009
031747;Marevan 3 mg tbl. 100x;B01AA03;varfarin;P70;;1.6.2012
031925;RITALIN 10 mg tbl. 30x;N06BA04;metilfenidat;P70*;Zdravilo smejo predpisati na recept le zdravniki specialisti nevrologije, zdravniki specialisti psihiatrije in zdravniki specialisti pediatrije, ki delajo na podroèju otroške nevrologije.;1.6.2012
031976;Rocaltrol 0,5 mcg mehke kaps. 100x;A11CC04;kalcitriol;V*;Za zdravljenje glukokortikoidne osteoporoze, ledviène osteodistrofije, hipoparatiroidizma in hipofosfatemiènega rahitisa, neodzivnega na vitamin D. Za zdravljenje primarne osteoporoze pri osebah z oèistkom kreatinina pod 40 ml/min.;29.3.2011
032026;Atoris 40 mg film.obl.tbl. 30x;C10AA05;atorvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
032042;Atoris 40 mg film.obl.tbl. 90x;C10AA05;atorvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
032093;Meramyl 2,5 mg tbl. 30x;C09AA05;ramipril;VC;;27.5.2016
032395;TOPAMAX 25 mg film.obl.tbl. 60x;N03AX11;topiramat;P100;;22.5.2009
032409;TOPAMAX 50 mg film.obl.tbl. 60x;N03AX11;topiramat;P100;;22.5.2009
032417;TOPAMAX 100 mg film.obl.tbl. 60x;N03AX11;topiramat;P100;;22.5.2009
032425;TOPAMAX 200 mg film.obl.tbl. 60x;N03AX11;topiramat;P100;;22.5.2009
032433;Meramyl 5 mg tbl. 30x;C09AA05;ramipril;VC;;27.5.2016
032441;Meramyl 10 mg tbl. 30x;C09AA05;ramipril;VC;;27.5.2016
032581;Stediril-m 150 mcg/30 mcg obl.tbl. 21x;G03AA07;levonorgestrel in estrogen;PC100;;27.5.2016
032603;Prenessa 4 mg tbl. 30x;C09AA04;perindopril;VC;;27.5.2016
032638;Prenessa 4 mg tbl. 90x;C09AA04;perindopril;VC;;27.5.2016
032778;XYZAL 5 mg film.obl.tbl. 30x;R06AE09;levocetirizin;VC*;Predpisovanje omejeno na bolnike s kronièno urtikarijo in celoletnim ter sezonskim rinitisom.;27.5.2016
032824;Sumamed 250 mg trde kaps. 6x;J01FA10;azitromicin;P70*;Ni antibiotik izbire za zdravljenje akutnega vnetja srednjega ušesa, vnetja obnosnih votlin, streptokoknega tonzilofaringitisa, za vnetje kože (npr. akne) in podkožja. zanje ga je mogoèe predpisati le v primeru preobèutljivosti za antibiotik izbire, kadar je indicirano zdravljenje z antibiotikom.;31.1.2013
032905;Fluzepam 15 mg trde kaps. 10x;N05CD01;flurazepam;V;;3.8.1996
033022;AZIBIOT 500 mg film.obl.tbl. 3x;J01FA10;azitromicin;PC70*;Ni antibiotik izbire za zdravljenje akutnega vnetja srednjega ušesa, vnetja obnosnih votlin, streptokoknega tonzilofaringitisa, za vnetje kože (npr. akne) in podkožja. zanje ga je mogoèe predpisati le v primeru preobèutljivosti za antibiotik izbire, kadar je indicirano zdravljenje z antibiotikom.;27.5.2016
033502;SINGULAIR 4 mg zrnca vreèka 28x;R03DC03;montelukast;PC70*;Predpisovanje omejeno na bolnike z zmerno in hudo astmo kot dodatna terapija k inh. zdravilom, kadar privede do dokumentiranega izboljšanja urejenosti ali zmanjšanja odmerkov inh. glukokortikoidov (IG). Bolnike z blago astmo pa je možno zdraviti najveè z enim prepreèevalcem, ali IG ali levkotrienskim antagonistom. Pri vseh bolnikih z astmo je potreben preizkus uèinkovitosti zdravljenja in dokumentirano spremljanje kazalcev urejenosti astme.;27.5.2016
033510;SINGULAIR 4 mg žveèlj.tbl. 28x;R03DC03;montelukast;PC70*;Predpisovanje omejeno na bolnike z zmerno in hudo astmo kot dodatna terapija k inh. zdravilom, kadar privede do dokumentiranega izboljšanja urejenosti ali zmanjšanja odmerkov inh. glukokortikoidov (IG). Bolnike z blago astmo pa je možno zdraviti najveè z enim prepreèevalcem, ali IG ali levkotrienskim antagonistom. Pri vseh bolnikih z astmo je potreben preizkus uèinkovitosti zdravljenja in dokumentirano spremljanje kazalcev urejenosti astme.;27.5.2016
033561;STOCRIN 600 mg film.obl.tbl.plastenka 30x;J05AG03;efavirenz;PC100;;27.5.2016
033650;Premovir 125 mg tbl. 7x;J05AB15;brivudin;P70;;1.6.2012
033758;Azitromicin Lek 500 mg film.obl.tbl. 3x;J01FA10;azitromicin;PC70*;Ni antibiotik izbire za zdravljenje akutnega vnetja srednjega ušesa, vnetja obnosnih votlin, streptokoknega tonzilofaringitisa, za vnetje kože (npr. akne) in podkožja. zanje ga je mogoèe predpisati le v primeru preobèutljivosti za antibiotik izbire, kadar je indicirano zdravljenje z antibiotikom.;27.5.2016
034002;SINVACOR FORTE 40 mg film.obl.tbl. 28x;C10AA01;simvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
034037;Atifan 10 mg/g krema15 g;D01AE15;terbinafin;PC70;;27.5.2016
034053;Coryol 3,125 mg tbl. 28x;C07AG02;karvedilol;P70;;1.6.2012
034487;Daleron 500 mg tbl. 20x;N02BE01;paracetamol;VC;;27.5.2016
034673;Apidra 100 i.e./ml vložek 3 ml 5x;A10AB06;insulin glulizin;P100;;22.5.2009
034754;Terbinafin Mylan 250 mg tbl. 14x;D01BA02;terbinafin;PC70;;27.5.2016
034797;PALLADONE 4 mg trde kaps.s podaljš.sprošè. 60x;N02AA03;hidromorfon;P70;;1.6.2012
034819;PALLADONE 16 mg trde kaps.s podaljš.sprošè. 60x;N02AA03;hidromorfon;P70;;1.6.2012
034835;PALLADONE 8 mg trde kaps.s podaljš.sprošè. 60x;N02AA03;hidromorfon;P70;;1.6.2012
034916;Alvesco 160 mcg inhal.razt.pod tlakom 60 vpihov;R03BA08;ciklezonid;P70;;1.6.2012
034932;PALLADONE 24 mg trde kaps.s podaljš.sprošè. 60x;N02AA03;hidromorfon;P70;;1.6.2012
034959;Torendo 1 mg film.obl.tbl. 20x;N05AX08;risperidon;PC100;;27.5.2016
034983;Torendo 2 mg film.obl.tbl. 20x;N05AX08;risperidon;PC100;;27.5.2016
035025;Torendo 3 mg film.obl.tbl. 20x;N05AX08;risperidon;PC100;;27.5.2016
035050;ALPHA D3 1 mcg mehke kaps. 30x;A11CC03;alfakalcidol (kalcidiol);V*;Za zdravljenje glukokortikoidne osteoporoze, ledviène osteodistrofije, hipoparatiroidizma in hipofosfatemiènega rahitisa, neodzivnega na vitamin D. Za zdravljenje primarne osteoporoze pri osebah z oèistkom kreatinina pod 40 ml/min.;10.6.2008
035084;Torendo 4 mg film.obl.tbl. 20x;N05AX08;risperidon;PC100;;27.5.2016
035122;Torendo Q-Tab 0,5 mg orodisperz.tbl. 28x;N05AX08;risperidon;P100;;22.5.2009
035149;Voltaren 25 mg sveèke 10x;M01AB05;diklofenak;V;;1.8.2012
035165;Torendo Q-Tab 1 mg orodisperz.tbl. 28x;N05AX08;risperidon;P100;;22.5.2009
035181;Torendo Q-Tab 2 mg orodisperz.tbl. 28x;N05AX08;risperidon;P100;;31.5.2012
035203;HYCAMTIN 0,25 mg caps. 10x;L01XX17;topotekan;P100*;Le za bolnike z napredovalim drobnoceliènim pljuènim rakom na osnovi mnenja Skupine za pljuène tumorje OI ali Konzilija za torakalne tumorje KOPA Golnik;22.5.2009
035220;HYCAMTIN 1 mg caps. 10x;L01XX17;topotekan;P100*;Le za bolnike z napredovalim drobnoceliènim pljuènim rakom na osnovi mnenja Skupine za pljuène tumorje OI ali Konzilija za torakalne tumorje KOPA Golnik;22.5.2009
035483;Duodopa 20 mg/ml + 5 mg/ml intestinalni gel 100 ml 7x;N04BA02;levodopa in zaviralec dekarboksilaze;V;;19.12.2006
035491;FODISS 20 mg disperz. tbl. 28x;N06AB03;fluoksetin;PC70;;27.5.2016
035530;STALEVO 200 mg/50 mg/200 mg film.obl.tbl. 30x;N04BA03;levodopa, zaviralec dekarboksilaze in zaviralec COMT;P70;;1.6.2012
035963;PREXANIL COMBI 4mg/1,25mg tbl. 30x;C09BA04;perindopril in diuretiki;VC;;27.5.2016
036013;Myfortic 180 mg gastrorezist.film.obl.tbl. 120x;L04AA06;mikofenolna kislina;P70;;1.6.2012
036021;Myfortic 360 mg gastrorezist.film.obl.tbl. 120x;L04AA06;mikofenolna kislina;P70;;1.6.2012
036102;Sevredol 20 mg film.obl.tbl. 60x;N02AA01;morfin;P70;;1.6.2012
036129;Haldol 2 mg/ml peroral.kapljice razt. 10 ml;N05AD01;haloperidol;P100;;22.5.2009
036137;Haldol 10 mg tbl. 30x;N05AD01;haloperidol;P100;;22.5.2009
036153;Haldol 2 mg tbl. 25x;N05AD01;haloperidol;P100;;22.5.2009
036463;OxyContin 10 mg tbl.s podaljš.sprošè. 60x;N02AA05;oksikodon;P70;;1.6.2012
036501;OxyContin 20 mg tbl.s podaljš.sprošè. 60x;N02AA05;oksikodon;P70;;1.6.2012
036579;OxyContin 40 mg tbl.s podaljš.sprošè. 60x;N02AA05;oksikodon;P70;;1.6.2012
036625;OxyContin 80 mg tbl.s podaljš.sprošè. 60x;N02AA05;oksikodon;P70;;1.6.2012
036676;METADONIJEV KLORID ALKALOID-INT 10 mg/ml peroral.razt. 100 ml;N07BC02;metadon;P70*;Zdravilo se lahko indicira le v specialistiènih ambulantah za zdravljenje boleèine.;27.2.2014
036765;Piramil H 2,5 mg/12,5 mg tbl. 28x;C09BA05;ramipril in diuretiki;VC;;27.5.2016
036773;Piramil H 5 mg/25 mg tbl. 28x;C09BA05;ramipril in diuretiki;VC;;27.5.2016
036781;Augmentin SR 1000 mg/62,5 mg film.obl.tbl.s podaljš.sprošè. 28x;J01CR02;amoksicilin in zaviralci laktamaz beta;P70*;Zdravila ni dovoljeno predpisovati za okužbe, povzroèene s piogenim streptokokom. Predpisovanje omejeno na okužbe s pnevmokokom, odpornim proti penicilinu ali èe obstaja veliko tveganje  za  odpornost: bolniki, starejši od 65 let, bolniki s hudimi osnovnimi boleznimi, oskrbovanci DSO in bolniki, ki so v zadnjih 3 mesecih prejeli betalaktamski antibiotik.;1.6.2012
036811;Kalijev klorid Jadran 500 mg tbl. 20x;A12BA01;kalijev klorid;P70;;1.6.2012
036927;Sevredol 10 mg film.obl.tbl. 60x;N02AA01;morfin;P70;;1.6.2012
036935;Angeliq 1 mg/2 mg film.obl.tbl. 28x;G03FA;Gestageni in estrogeni, kombinacije;V;;12.12.2005
037044;Ciprinol 250 mg film.obl.tbl. 10x;J01MA02;ciprofloksacin;PC70*;Zdravila ni dovoljeno predpisati kot zdravilo izbire za zdravljenje okužbe seèil in dihal razen v primerih, ko je obèutljivost povzroèitelja dokazana z antibiogramom (obèutljivost na kinolone in odpornost na antibiotik izbire) ali v primeru neuspeha, preobèutljivosti ali slabega prenašanja zdravil izbire.;27.5.2016
037184;Myfenax 250 mg trde kaps. 100x;L04AA06;mikofenolna kislina;PC70;;27.5.2016
037222;HYZAAR 100 mg/12,5 mg film.obl.tbl. 28x;C09DA01;losartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
037290;Myfenax 500 mg film.obl.tbl. 50x;L04AA06;mikofenolna kislina;PC70;;27.5.2016
037524;Hiconcil 250 mg/5 ml prašek za peroral.susp. 100 ml;J01CA04;amoksicilin;P70;;1.6.2012
037699;Ampril HD 5 mg/25 mg tbl. 28x;C09BA05;ramipril in diuretiki;VC;;27.5.2016
037702;Ampril HL 2,5 mg/12,5 mg tbl. 28x;C09BA05;ramipril in diuretiki;VC;;27.5.2016
037729;BIOPREXANIL 10 mg film.obl.tbl. 30x;C09AA04;perindopril;VC;;27.5.2016
037753;BIOPREXANIL 5 mg film.obl.tbl. 30x;C09AA04;perindopril;VC;;27.5.2016
038008;HYGROTON tbl. 25 mg 20x;C03BA04;klortalidon;P70;;1.6.2012
038121;Clexane 10.000 anti-Xa i.e./1 ml razt.za inj.brizga 10x;B01AB05;enoksaparin;P70;;1.6.2012
038130;Clexane 2.000 anti-Xa i.e./0,2 ml razt.za inj.brizga 10x;B01AB05;enoksaparin;P70;;1.6.2012
038202;TRAMACUR 100 mg trde kaps.s podaljš.sprošè.  30x;N02AX02;tramadol;P70;;1.6.2012
038237;Lactecon 3,335 g/5 ml peroral.razt. 500 ml;A06AD11;laktuloza;VC;;27.5.2016
038245;Tanyz 0,4 mg trde kaps.s prirej.sprošè. 30x;G04CA02;tamsulozin;V;;31.3.2016
038253;Clexane 4.000 anti-Xa i.e./0,4 ml razt.za inj.brizga 10x;B01AB05;enoksaparin;P70;;1.6.2012
038270;Clexane 6.000 anti-Xa i.e./0,6 ml razt.za inj.brizga 10x;B01AB05;enoksaparin;P70;;1.6.2012
038300;Clexane 8.000 anti-Xa i.e./0,8 ml razt.za inj.brizga 10x;B01AB05;enoksaparin;P70;;1.6.2012
038385;Cardiopirin 100 mg gastrorezist.tbl. 30x;B01AC06;acetilsalicilna kislina;PC70;;27.5.2016
038423;Simvastatin Lek 10 mg film.obl.tbl. 28x;C10AA01;simvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
038458;Simvastatin Lek 20 mg film.obl.tbl. 28x;C10AA01;simvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
038474;Simvastatin Lek 40 mg film.obl.tbl. 28x;C10AA01;simvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
038512;Vesicare 5 mg film.obl.tbl. 30x;G04BD08;solifenacin;VC*;Samo na osnovi izvida urologa, ginekologa ali nevrologa s priporoèilom za predpis zdravila.;27.5.2016
038520;Vesicare 10 mg film.obl.tbl. 30x;G04BD08;solifenacin;VC*;Samo na osnovi izvida urologa, ginekologa ali nevrologa s priporoèilom za predpis zdravila.;27.5.2016
038687;Lotemax 0,5% kapljice za oko susp. 5 ml;S01BA14;loteprednol;P70;;1.6.2012
038695;Omnic Ocas 0,4 mg film.obl.tbl s podaljš.sprošè. 30x;G04CA02;tamsulozin;VC;;27.5.2016
038814;IBUPROFEN BELUPO 400 mg obl.tbl. 30x;M01AE01;ibuprofen;V;;1.8.2012
038857;Fragmin 10.000 ie/0,4ml inj.brizga 10x;B01AB04;dalteparin;P70;;1.6.2012
038873;Fragmin 12.500 ie/0,5ml inj.brizga 10x;B01AB04;dalteparin;P70;;1.6.2012
038881;Fragmin 15.000 ie/0,6ml inj.brizga 10x;B01AB04;dalteparin;P70;;1.6.2012
038911;Fragmin 18.000 ie/0,72ml inj.brizga 10x;B01AB04;dalteparin;P70;;1.6.2012
038989;CADUET 5 mg/10 mg film.obl.tbl. 30x;C10BX03;atorvastatin in amlodipin;VC*;Za bolnike z arterijsko hipertenzijo in sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (> 2,5 mmol/l). za bolnike z arterijsko hipertenzijo in primarno preventivo v primerih zvišane celotne koronarne ogroženosti > 20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo arterijsko hipertenzijo in družinsko hiperholesterolemijo.;27.5.2016
